season,player_display_name,player_position,player_gsis_id,avg_cushion,avg_separation,avg_intended_air_yards,catch_percentage,avg_yac,avg_expected_yac,avg_yac_above_expectation,total_weeks
2016,Steve Smith,WR,00-0020337,6.370898999876529,2.679138413262812,9.79242210924389,66.15076068046365,3.947577838827839,3.339788788953278,0.6077890498745612,13
2016,Andre Johnson,WR,00-0022044,7.912714285714285,1.769796825791244,10.726857142857144,51.42857142857143,1.805000000000001,3.7370144724831666,-1.9320144724831658,2
2016,Anquan Boldin,WR,00-0022084,4.858592343647821,2.419274904300213,6.629934593428015,65.89703425229742,3.7327470978441126,3.7310656491760312,0.001681448668081435,12
2016,Larry Fitzgerald,WR,00-0022921,6.520971454236753,2.3682909312111184,8.213055974025975,70.25242905242905,3.3914791920090988,3.403092810975325,-0.011613618966227908,15
2017,Larry Fitzgerald,WR,00-0022921,6.077556855881692,2.5329380514820348,7.939858536315738,66.00159276110362,4.154832277209284,4.168224411368845,-0.013392134159560865,16
2018,Larry Fitzgerald,WR,00-0022921,6.40757150039503,2.2317809775978414,9.519804334554335,59.83058608058608,2.7884117295747726,2.1825410409032395,0.6058706886715327,13
2019,Larry Fitzgerald,WR,00-0022921,6.220247318158032,3.217441050822788,7.479944680810671,71.43471862344732,5.389382142857143,4.819802033215353,0.5695801096417882,14
2020,Larry Fitzgerald,WR,00-0022921,6.143264550264551,3.426064693027662,5.387880070546737,76.34920634920634,4.109500293944738,3.9103940960678196,0.19910619787691902,9
2016,Vincent Jackson,WR,00-0023496,7.871928571428572,1.8781459050312457,14.326898412698412,48.6031746031746,1.1000000000000008,1.57247966676914,-0.4724796667691392,5
2016,Brandon Marshall,WR,00-0024334,4.683826172632624,2.2298811867930426,13.15049925294613,47.58638468013468,2.7736721280602636,4.498926459374428,-1.7252543313141644,15
2017,Brandon Marshall,WR,00-0024334,7.702878787878788,1.7106306941099525,10.768454545454546,50.909090909090914,2.4927777777777775,2.2431796218186415,0.24959815595913612,3
2018,Brandon Marshall,WR,00-0024334,4.7044444444444435,1.2915485499338295,10.621666666666668,50.0,3.0169444444444444,2.1036166892345847,0.9133277552098596,3
2016,Ted Ginn,WR,00-0025396,6.965515211640212,3.133518110250647,12.817275027847396,56.939223057644114,3.6989583333333322,4.256533104615323,-0.55757477128199,12
2017,Ted Ginn,WR,00-0025396,6.965998304725579,3.2707011776206945,13.008953561589925,74.43132624950806,4.971832577799559,4.618343950964731,0.35348862683482807,11
2018,Ted Ginn,WR,00-0025396,7.426005952380952,2.782059589556773,15.570912698412698,57.638888888888886,2.798333333333334,2.127637297985756,0.6706960353475772,6
2019,Ted Ginn,WR,00-0025396,7.023946428571429,2.7499402143550453,15.45672619047619,54.19642857142857,1.8674851190476187,2.07954842924964,-0.2120633102020213,8
2016,Danny Amendola,WR,00-0026035,5.014545454545455,2.4469715460156483,7.547272727272728,72.72727272727273,2.912499999999999,3.1287072747945,-0.21620727479450075,1
2017,Danny Amendola,WR,00-0026035,5.690823446868223,2.9296827752682195,8.974252522373275,72.5777680876071,3.9096941378293835,4.438784374161863,-0.52909023633248,13
2018,Danny Amendola,WR,00-0026035,6.184597727980081,3.3100695108288747,6.932569305167407,71.33929713043636,4.264763406869339,4.560357260131784,-0.2955938532624445,9
2019,Danny Amendola,WR,00-0026035,5.997470442963251,2.904270550014733,8.69230865846119,65.13398712086622,3.6856878578410828,3.872679005138214,-0.1869911472971314,11
2020,Danny Amendola,WR,00-0026035,6.510116071428571,3.1662924839499347,8.586824903874593,64.82993197278911,5.290540668441289,4.904819386826061,0.3857212816152288,7
2021,Danny Amendola,WR,00-0026035,7.043079365079365,3.3809842943437345,8.053481481481482,63.43915343915344,4.084214285714286,2.8832191288600963,1.2009951568541892,6
2016,Jordy Nelson,WR,00-0026176,5.7844858387479485,2.680895351418658,12.751533142897694,67.03953854882648,3.4671477254131893,3.52441550647253,-0.057267781059341,17
2017,Jordy Nelson,WR,00-0026176,6.28171560846561,2.650752099518743,10.241214886964887,61.20941558441558,2.629167789757412,3.114321711489825,-0.4851539217324124,12
2018,Jordy Nelson,WR,00-0026176,5.778966096528974,2.7394857285123826,8.790032873376624,75.71428571428572,4.602069444444444,4.194021512987776,0.4080479314566686,8
2016,Eddie Royal,WR,00-0026182,5.795349664224665,3.2891968713266357,6.871050510643534,75.75366063738157,6.193125901875903,4.775411887832962,1.4177140140429412,6
2016,DeSean Jackson,WR,00-0026189,7.258131562881562,2.90783389342014,16.555152258852257,56.09645909645909,4.326241758241759,5.221624830775439,-0.8953830725336813,13
2017,DeSean Jackson,WR,00-0026189,7.11493868921776,2.6945881605710778,16.483356519742884,53.11950675587038,4.0339212121212125,4.784656354680489,-0.7507351425592771,11
2018,DeSean Jackson,WR,00-0026189,7.493761463844797,2.881862033759587,17.953759295009295,57.44363411030078,3.8286630532971992,3.752852433954496,0.0758106193427029,9
2019,DeSean Jackson,WR,00-0026189,7.598750000000001,3.8205348274170237,15.407777777777776,88.88888888888889,2.326250000000001,2.698650071616416,-0.3724000716164153,1
2020,DeSean Jackson,WR,00-0026189,7.815058201058203,3.289269717204398,15.509597883597884,51.74603174603175,2.1233333333333353,2.659075733998305,-0.5357424006649697,3
2021,DeSean Jackson,WR,00-0026189,6.243499999999999,3.6087210364244307,17.467000000000002,70.0,12.693333333333332,11.322622803162242,1.370710530171091,2
2016,Harry Douglas,WR,00-0026224,5.599166666666667,3.0839932380808457,7.161999999999999,61.66666666666667,3.8815,1.7983064323676001,2.0831935676324,2
