season,player_display_name,player_position,player_gsis_id,avg_intended_air_yards,avg_time_to_throw,avg_completed_air_yards,total_weeks
2018,Philip Rivers,QB,00-0022942,7.986821839985221,2.6460705090192405,6.5507840889781574,19
2019,Philip Rivers,QB,00-0022942,8.680863915501405,2.63022118485165,6.220352953106514,17
2020,Philip Rivers,QB,00-0022942,7.477766691132591,2.5284639217071696,5.368860773032992,18
2016,Alex Smith,QB,00-0023436,7.232377926364211,2.409876363595821,5.00344362341792,17
2017,Alex Smith,QB,00-0023436,7.291526011355278,2.6386042125697395,5.58354227802005,17
2018,Alex Smith,QB,00-0023436,8.231135184832368,2.7976497289718734,5.964363204862369,11
2020,Alex Smith,QB,00-0023436,5.030131535512908,2.5985675065289926,3.3487296176266352,9
2016,Aaron Rodgers,QB,00-0023459,9.621063280437063,2.9126546089116383,6.803215153772752,20
2017,Aaron Rodgers,QB,00-0023459,7.130655033922864,2.6254218157012907,5.2472500181522745,7
2018,Aaron Rodgers,QB,00-0023459,8.844586651104906,2.9443331563175845,6.14307338432188,16
2019,Aaron Rodgers,QB,00-0023459,8.689062173350644,2.9114531361081792,5.553772222343249,19
2020,Aaron Rodgers,QB,00-0023459,8.058835663060055,2.7305899885992666,5.407822800264668,19
2021,Aaron Rodgers,QB,00-0023459,7.616296129389099,2.6420896741130306,4.841599017703389,18
