player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
00-0000849,2001,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,1,2,4.0,1,0.0,0.0,0.0,0.0,1.0,1.2837816834216937,0,0.0,0.07294429708222812,0.0,0.0,0.0,6.4,7.4,2,0.03636363636363636,,,,0.008130081300813009,0.2,0.038461538461538464,0.06451612903225806,0.1040650406504065,0.04650406504065042,0.07272727272727272,0.035275050052435884
00-0000849,2002,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,1,2,8.0,0,0.0,0.0,0.0,0.0,0.0,-0.018094536033459008,0,0.0,0.053418803418803416,0.0,0.0,0.0,0.8,1.8,2,0.02564102564102564,,,,0.013311148086522463,0.0,0.0,0.0,0.0066555740432612314,0.01064891846921797,0.10256410256410256,0.0074306472919418755
00-0000849,2004,REG,0,1,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.7097629196941853,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,5,5,45.0,1,1.0,0.0,0.0,0.0,3.0,3.8590551092362384,0,0.0,0.1657397107897664,0.0,0.0,0.0,10.5,15.5,3,0.038461538461538464,,,,0.052204176334106726,0.25,0.08571428571428572,0.10256410256410256,0.15110208816705337,0.09176334106728538,0.34615384615384615,0.06045713394180514
00-0000849,2005,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,2,2,6.0,2,0.0,0.0,0.0,0.0,2.0,3.2153026706073433,0,0.0,0.09696969696969697,0.0,0.0,0.0,12.6,14.6,2,0.02631578947368421,,,,0.012875536480686695,0.5,0.06896551724137931,0.12121212121212122,0.25643776824034337,0.11030042918454937,0.07894736842105263,0.08662632016138601
00-0000883,2000,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,13,36,105.0,0,0.0,0.0,0.0,0.0,3.0,-8.120014689419866,0,0.0,1.4217286867086638,0.0,0.0,0.0,10.5,23.5,14,0.0891089108910891,,,,0.05308392315470172,0.0,0.030927835051546393,0.029411764705882353,0.02654196157735086,0.04246713852376138,0.2599009900990099,0.03248907813968921
00-0000883,2001,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,14,24,127.0,0,1.0,0.0,0.0,0.0,8.0,1.1896262908703648,0,0.0,0.6513086584748315,0.0,0.0,0.0,12.700000000000001,26.7,7,0.09448818897637795,,,,0.09317681584739546,0.0,0.10810810810810811,0.1,0.04658840792369773,0.07454145267791637,0.5,0.056255530740381775
00-0000883,2002,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.4107388937702763,0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,1,0.03225806451612903,,,,0.0,,0.0,0.0,,,0.0,0.0
00-0000911,2000,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,4,9,22.0,2,0.0,0.0,0.0,0.0,2.0,1.575005616119597,0,0.0,0.23900850611376928,0.0,0.0,0.0,14.2,18.200000000000003,4,0.05202312138728324,,,,0.01971326164874552,0.16666666666666666,0.03389830508474576,0.056338028169014086,0.09318996415770608,0.04910394265232974,0.12716763005780346,0.04672177440057504
00-0000911,2001,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,22,44,148.0,2,0.0,0.0,0.0,0.0,10.0,-19.52023403585809,0,0.0,1.2809238834704444,0.0,0.0,0.0,26.8,48.8,13,0.09713024282560706,,,,0.05690119184928873,0.11764705882352941,0.07518796992481203,0.08,0.08727412533640908,0.06905036524413688,0.32671081677704195,0.0506465740913714
00-0000911,2002,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,5,8,51.0,0,0.0,0.0,0.0,0.0,3.0,1.7628854888607748,0,0.0,0.2737880899293943,0.0,0.0,0.0,5.1,10.1,5,0.050314465408805034,,,,0.04885057471264368,0.0,0.057692307692307696,0.05172413793103448,0.02442528735632184,0.03908045977011495,0.32075471698113206,0.0286476060812344
00-0001222,2006,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,-3.4377216020366177,0,0.0,0.043478260869565216,0.0,0.06521739130434782,0.0,0.0,1.0,1,0.02857142857142857,0.0,0.0,0.04285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010782833728703903
00-0001281,2000,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,19,32,149.0,2,0.0,0.0,0.0,0.0,10.0,-0.6426550472628074,0,0.0,0.9270911528013392,0.0,0.0,0.0,26.900000000000002,45.9,8,0.11636363636363636,,,,0.08627678054429647,0.18181818181818182,0.11494252873563218,0.12244897959183673,0.13404748118123916,0.10538506079907353,0.5418181818181819,0.07749712973593571
00-0001661,2000,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,64,94,729.0,3,0.0,0.0,0.0,0.0,39.0,31.89272587589221,1,0.0,2.9394342227331722,0.0,0.0,0.0,92.9,156.9,16,0.1724770642201835,,,,0.18469723840891816,0.13636363636363635,0.20207253886010362,0.19534883720930232,0.16053043738627726,0.17503051799986183,1.3376146788990826,0.11518301546051182
00-0001661,2001,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,36,63,386.0,2,0.0,0.0,0.0,0.0,20.0,-9.199373312928559,0,0.0,1.9581661465362654,0.0,0.0,0.0,50.6,86.60000000000001,15,0.1254980079681275,,,,0.1108876759551853,0.2,0.11695906432748537,0.12154696132596685,0.15544383797759265,0.12871014076414825,0.7689243027888446,0.0786814944032563
00-0001661,2002,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,43,67,461.0,4,0.0,0.0,0.0,0.0,26.0,-33.261007985740704,0,0.0,2.4165095417405458,0.0,0.0,0.0,70.10000000000001,113.10000000000001,16,0.14533622559652928,,,,0.15269956939383902,0.4,0.16666666666666666,0.18072289156626506,0.2763497846969195,0.20215965551507126,1.0,0.09890167546958621
00-0001661,2003,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,29,29,281.0,1,2.0,1.0,0.0,0.0,16.0,17.440260513976682,0,0.0,1.5304597004825837,0.0,0.0,0.0,32.1,61.1,14,0.06502242152466367,,,,0.09410582719357,0.0625,0.1103448275862069,0.10559006211180125,0.078302913596785,0.087784661754856,0.6300448430493274,0.057989446110626015
00-0001661,2004,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,14,14,103.0,1,0.0,0.0,0.0,0.0,6.0,8.10974288044963,0,0.0,0.8171836922294589,0.0,0.0,0.0,16.3,30.3,9,0.05054151624548736,,,,0.059675550405561995,0.09090909090909091,0.06896551724137931,0.07142857142857142,0.07529232065732645,0.06592225850626779,0.37184115523465705,0.046228487733430974
00-0001661,2005,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,18,18,157.0,1,3.0,2.0,0.0,0.0,6.0,5.142004830704536,0,0.0,0.9672099099730679,0.0,0.0,0.0,17.700000000000003,35.7,10,0.05787781350482315,,,,0.08026584867075665,0.07692307692307693,0.057692307692307696,0.05982905982905983,0.07859446279691679,0.0795972943212207,0.5048231511254019,0.04698975965461869
00-0001661,2006,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,5,5,37.0,0,0.0,0.0,23.0,14.0,2.0,1.953226727200672,0,3.7444444444444445,0.35427807486631013,0.34970302766912936,0.7762092316678558,0.0,3.7,8.7,5,0.04032258064516129,0.021455223880597014,0.040345821325648415,0.07764805007221955,0.04389086595492289,0.0,0.047619047619047616,0.0425531914893617,0.021945432977461446,0.035112692763938316,0.29838709677419356,0.022013056019432212
00-0001661,2007,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,9,9,70.0,2,0.0,0.0,46.0,24.0,5.0,6.708507031202316,0,10.654248366013071,0.37661812727556065,0.25891533467634337,0.7461679251867813,0.0,19.0,28.0,7,0.03383458646616541,0.022704837117472853,0.023692003948667325,0.0689157493932264,0.030133448127421438,0.07407407407407407,0.045454545454545456,0.051094890510948905,0.052103761100747756,0.038921573316751966,0.2631578947368421,0.03178495209553648
00-0001766,2000,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,13,18,107.0,2,0.0,0.0,0.0,0.0,8.0,8.121850328014382,0,0.0,0.6594678223833202,0.0,0.0,0.0,22.7,35.7,11,0.05373134328358209,,,,0.0453774385072095,0.1,0.06611570247933884,0.07092198581560284,0.07268871925360476,0.05630195080576761,0.3194029850746269,0.037299398194583756
00-0001766,2001,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,12,17,85.0,1,0.0,0.0,0.0,0.0,7.0,-3.4470843124688293,0,0.0,0.5187909510168384,0.0,0.0,0.0,14.5,26.5,11,0.04404145077720207,,,,0.03155159613956941,0.05263157894736842,0.04895104895104895,0.04938271604938271,0.042091587543468915,0.03576759270112922,0.22020725388601037,0.026893724121133392
00-0001862,2000,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,12,18,104.0,0,1.0,0.0,0.0,0.0,8.0,-0.7538170930959271,0,0.0,0.5467018946295015,0.0,0.0,0.0,10.4,22.4,9,0.06,,,,0.06172106824925816,0.0,0.08602150537634409,0.07692307692307693,0.03086053412462908,0.04937685459940653,0.3466666666666667,0.03349282296650718
00-0001862,2001,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,2,4,22.0,0,0.0,0.0,0.0,0.0,1.0,0.16349709720816463,0,0.0,0.08740562800274537,0.0,0.0,0.0,2.2,4.199999999999999,3,0.026490066225165563,,,,0.028423772609819122,0.0,0.02564102564102564,0.024390243902439025,0.014211886304909561,0.0227390180878553,0.1456953642384106,0.017583521728208987
00-0002102,2000,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,17,34,192.0,3,0.0,0.0,0.0,0.0,11.0,4.345919287996367,0,0.0,1.2864544998058929,0.0,0.0,0.0,37.2,54.2,16,0.0779816513761468,,,,0.0709796672828096,0.25,0.08661417322834646,0.10071942446043165,0.1604898336414048,0.10678373382624769,0.44036697247706424,0.05289869217255514
00-0002102,2001,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,12,19,98.0,0,0.0,0.0,0.0,0.0,5.0,2.1158664852264337,0,0.0,0.721311858076564,0.0,0.0,0.0,9.8,21.8,8,0.08296943231441048,,,,0.06186868686868687,0.0,0.06578947368421052,0.06172839506172839,0.030934343434343436,0.0494949494949495,0.4279475982532751,0.03788932146829811
00-0002102,2002,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,13,18,66.0,1,0.0,0.0,0.0,0.0,4.0,0.27402240203809924,0,0.0,0.51035692822126,0.0,0.0,0.0,12.6,25.6,10,0.05113636363636364,,,,0.025190839694656488,0.047619047619047616,0.031007751937984496,0.03333333333333333,0.036404943656852054,0.029676481279534716,0.1875,0.02718487841138367
00-0002102,2003,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,2,2,1.0,1,0.0,0.0,0.0,0.0,1.0,0.8079662138479762,0,0.0,0.14559386973180077,0.0,0.0,0.0,6.1,8.1,2,0.029411764705882353,,,,0.0024509803921568627,0.5,0.041666666666666664,0.07692307692307693,0.2512254901960784,0.10196078431372549,0.014705882352941176,0.059331966012305885
00-0002102,2004,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,4,4,52.0,0,0.0,0.0,0.0,0.0,2.0,3.7524784686393104,0,0.0,0.18076592447301829,0.0,0.0,0.0,5.200000000000001,9.200000000000001,4,0.030303030303030304,,,,0.04663677130044843,0.0,0.03636363636363636,0.03225806451612903,0.023318385650224215,0.03730941704035875,0.3939393939393939,0.024704618689581095
00-0002102,2005,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,2,2,22.0,0,0.0,0.0,0.0,0.0,1.0,1.1473294112365693,0,0.0,0.1511111111111111,0.0,0.0,0.0,2.2,4.2,2,0.03571428571428571,,,,0.06060606060606061,0.0,0.047619047619047616,0.041666666666666664,0.030303030303030304,0.04848484848484849,0.39285714285714285,0.032129742962056305
00-0002102,2006,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,9,9,62.0,2,0.0,0.0,30.0,32.0,4.0,3.833128232276067,0,11.313636363636363,0.5104785266856204,0.49131143158622115,1.1096357921387856,0.0,18.2,27.2,8,0.03829787234042553,0.02074688796680498,0.039603960396039604,0.07404431888408228,0.040709126723571895,0.2222222222222222,0.05063291139240506,0.06818181818181818,0.13146567447289706,0.07701174582330196,0.26382978723404255,0.04830231566983947
00-0002380,2000,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,3,5,39.0,0,0.0,0.0,0.0,0.0,3.0,2.8836440527811646,0,0.0,0.15868686868686868,0.0,0.0,0.0,3.9000000000000004,6.8999999999999995,3,0.052083333333333336,,,,0.08666666666666667,0.0,0.13636363636363635,0.13043478260869565,0.043333333333333335,0.06933333333333334,0.40625,0.05211480362537764
