player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0022921,L.Fitzgerald,Larry Fitzgerald,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ycgjjaad5un42gy4pnga",ARI,2020,1,REG,SF,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,4,5,34.0,0,0.0,0.0,15.0,23.0,2.0,1.3585643,0,2.2666667,0.13513513,0.078125,0.2573902,0.0,3.4,7.4
00-0022921,L.Fitzgerald,Larry Fitzgerald,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ycgjjaad5un42gy4pnga",ARI,2020,2,REG,WAS,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,7,7,50.0,0,0.0,0.0,25.0,25.0,4.0,5.975731,0,2.0,0.20588236,0.07836991,0.36368245,0.0,5.0,12.0
00-0022921,L.Fitzgerald,Larry Fitzgerald,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ycgjjaad5un42gy4pnga",ARI,2020,3,REG,DET,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,3,0.0,0,0.0,0.0,21.0,0.0,0.0,-7.686333,0,0.0,0.09090909,0.06687898,0.18317892,0.0,0.0,1.0
00-0022921,L.Fitzgerald,Larry Fitzgerald,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ycgjjaad5un42gy4pnga",ARI,2020,4,REG,CAR,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,3,4.0,0,0.0,0.0,27.0,2.0,0.0,-1.5021464,0,0.14814815,0.09677419,0.12676056,0.23389368,0.0,0.4,2.4
00-0022921,L.Fitzgerald,Larry Fitzgerald,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ycgjjaad5un42gy4pnga",ARI,2020,5,REG,NYJ,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,4,7,35.0,0,0.0,0.0,48.0,19.0,2.0,-0.33103207,0,0.7291667,0.2,0.14457831,0.40120482,0.0,3.5,7.5
00-0022921,L.Fitzgerald,Larry Fitzgerald,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ycgjjaad5un42gy4pnga",ARI,2020,6,REG,DAL,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,3,4,22.0,0,0.0,0.0,27.0,3.0,2.0,2.0977702,0,0.8148148,0.18181819,0.1173913,0.3549012,0.0,2.2,5.2
00-0022921,L.Fitzgerald,Larry Fitzgerald,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ycgjjaad5un42gy4pnga",ARI,2020,7,REG,SEA,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,8,8,62.0,0,0.0,0.0,37.0,25.0,2.0,1.8443139,0,1.6756756,0.18181819,0.095607236,0.33965233,0.0,6.2,14.2
00-0022921,L.Fitzgerald,Larry Fitzgerald,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ycgjjaad5un42gy4pnga",ARI,2020,9,REG,MIA,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,4,5,54.0,0,0.0,0.0,55.0,8.0,4.0,3.5704515,0,0.9818182,0.1923077,0.22,0.44246155,0.0,5.4,9.4
00-0022921,L.Fitzgerald,Larry Fitzgerald,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ycgjjaad5un42gy4pnga",ARI,2020,10,REG,BUF,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,5,13.0,0,0.0,0.0,31.0,12.0,1.0,-7.2214136,0,0.41935483,0.15625,0.13419913,0.3283144,0.0,1.3,3.3
00-0022921,L.Fitzgerald,Larry Fitzgerald,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ycgjjaad5un42gy4pnga",ARI,2020,11,REG,SEA,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,8,10,62.0,0,0.0,0.0,43.0,49.0,3.0,1.5028712,0,1.4418604,0.25641027,0.16044776,0.4969288,0.0,6.2,14.2
00-0022921,L.Fitzgerald,Larry Fitzgerald,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ycgjjaad5un42gy4pnga",ARI,2020,14,REG,NYG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,3,10.0,0,0.0,0.0,8.0,5.0,1.0,-2.0038457,0,1.25,0.09375,0.044692736,0.17190991,0.0,1.0,3.0
00-0022921,L.Fitzgerald,Larry Fitzgerald,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ycgjjaad5un42gy4pnga",ARI,2020,15,REG,PHI,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,3,4,35.0,1,0.0,0.0,55.0,2.0,3.0,2.5821927,0,0.6363636,0.10810811,0.1510989,0.2679314,0.0,9.5,12.5
00-0022921,L.Fitzgerald,Larry Fitzgerald,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ycgjjaad5un42gy4pnga",ARI,2020,16,REG,SF,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,6,8,28.0,0,0.0,0.0,40.0,12.0,1.0,-1.9584751,0,0.7,0.17391305,0.09779951,0.32932922,0.0,2.8,8.8
00-0025396,T.Ginn,Ted Ginn,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/o4m4txrv9l7odyebnea4",CHI,2020,1,REG,DET,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,1,0.0,0,0.0,0.0,17.0,0.0,0.0,-3.2457356,0,0.0,0.027777778,0.048710603,0.07576409,0.0,0.0,0.0
00-0025396,T.Ginn,Ted Ginn,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/o4m4txrv9l7odyebnea4",CHI,2020,3,REG,ATL,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,3,29.0,0,0.0,0.0,97.0,6.0,1.0,3.2676954,0,0.29896906,0.06122449,0.18476191,0.22117007,0.0,2.9,3.9
00-0025396,T.Ginn,Ted Ginn,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/o4m4txrv9l7odyebnea4",CHI,2020,4,REG,IND,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,2,11.0,0,0.0,0.0,7.0,4.0,0.0,-0.6326099,0,1.5714285,0.04761905,0.018766755,0.084565304,0.0,1.1,3.1
00-0026035,D.Amendola,Danny Amendola,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/etz06w7s0ardf49mnayz",DET,2020,1,REG,CHI,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,5,7,81.0,0,0.0,0.0,67.0,22.0,4.0,6.323143,0,1.2089552,0.17073171,0.18010753,0.38217282,0.0,8.1,13.1
00-0026035,D.Amendola,Danny Amendola,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/etz06w7s0ardf49mnayz",DET,2020,2,REG,GB,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,7,21.0,0,0.0,0.0,87.0,6.0,1.0,-8.481859,0,0.2413793,0.23333333,0.3372093,0.5860465,0.0,2.1,4.1
00-0026035,D.Amendola,Danny Amendola,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/etz06w7s0ardf49mnayz",DET,2020,3,REG,ARI,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,4,18.0,0,0.0,0.0,37.0,16.0,1.0,-3.0410979,0,0.4864865,0.12903225,0.16818182,0.31127566,0.0,1.8,2.8
00-0026035,D.Amendola,Danny Amendola,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/etz06w7s0ardf49mnayz",DET,2020,4,REG,NO,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,3,57.0,0,0.0,0.0,24.0,37.0,1.0,2.6358225,0,2.375,0.1,0.07272727,0.2009091,0.0,5.7,7.7
00-0026035,D.Amendola,Danny Amendola,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/etz06w7s0ardf49mnayz",DET,2020,6,REG,JAX,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,2,31.0,0,0.0,0.0,13.0,18.0,2.0,2.7568064,0,2.3846154,0.06451613,0.048327137,0.1306032,0.0,3.1,5.1
