player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0025394,A.Peterson,Adrian Peterson,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ug2ua3skqc9f6vkbowxc",TEN,2021,9,REG,LA,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,10,21.0,1,0.0,0.0,1.0,-1.8106488,0,1,1,5.0,0,0.0,0.0,-4.0,9.0,0.0,-0.011572998,0,-1.25,0.03846154,-0.041237112,0.028826328,0.0,8.6,9.6
00-0025394,A.Peterson,Adrian Peterson,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ug2ua3skqc9f6vkbowxc",TEN,2021,10,REG,NO,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,8,21.0,0,0.0,0.0,1.0,-1.6240957,0,1,1,-1.0,0,0.0,0.0,-6.0,5.0,0.0,-0.44711816,0,0.16666667,0.037037037,-0.04477612,0.024212273,0.0,2.0,3.0
00-0025394,A.Peterson,Adrian Peterson,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ug2ua3skqc9f6vkbowxc",TEN,2021,11,REG,HOU,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,9,40.0,0,0.0,0.0,2.0,-3.4637191,0,2,2,4.0,0,0.0,0.0,-1.0,5.0,0.0,-0.8189538,0,-4.0,0.039215688,-0.0023419203,0.057184186,0.0,4.4,6.4
00-0025394,A.Peterson,Adrian Peterson,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ug2ua3skqc9f6vkbowxc",SEA,2021,13,REG,SF,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,11,16.0,1,1.0,0.0,2.0,-2.966162,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,7.6,7.6
00-0027966,M.Ingram,Mark Ingram,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qyju9wutyssrf0b26ran",HOU,2021,1,REG,JAX,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,26,85.0,1,0.0,0.0,3.0,-4.8467407,0,0,1,0.0,0,0.0,0.0,19.0,0.0,0.0,-1.5832912,0,0.0,0.03125,0.06397306,0.09165615,0.0,14.5,14.5
00-0027966,M.Ingram,Mark Ingram,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qyju9wutyssrf0b26ran",HOU,2021,2,REG,CLE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,14,41.0,0,0.0,0.0,2.0,-2.630264,0,1,2,-1.0,0,0.0,0.0,6.0,0.0,0.0,-1.5242727,0,-0.16666667,0.071428575,0.023904383,0.12387592,0.0,4.0,5.0
00-0027966,M.Ingram,Mark Ingram,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qyju9wutyssrf0b26ran",HOU,2021,3,REG,CAR,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,6,21.0,0,0.0,0.0,1.0,-0.8123758,0,1,1,-1.0,0,0.0,0.0,-2.0,1.0,0.0,-1.0384974,0,0.5,0.04,-0.010526316,0.05263158,0.0,2.0,3.0
00-0027966,M.Ingram,Mark Ingram,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qyju9wutyssrf0b26ran",HOU,2021,4,REG,BUF,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,6,24.0,0,0.0,0.0,1.0,-0.9769496,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,2.4,2.4
00-0027966,M.Ingram,Mark Ingram,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qyju9wutyssrf0b26ran",HOU,2021,5,REG,NE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,16,41.0,0,0.0,0.0,1.0,-3.6759036,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,4.1,4.1
00-0027966,M.Ingram,Mark Ingram,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qyju9wutyssrf0b26ran",HOU,2021,6,REG,IND,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,18,73.0,0,0.0,0.0,5.0,-0.8771185,0,2,2,8.0,0,0.0,0.0,-9.0,17.0,0.0,0.037456863,0,-0.8888889,0.04761905,-0.03169014,0.049245473,0.0,8.1,10.1
00-0027966,M.Ingram,Mark Ingram,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qyju9wutyssrf0b26ran",HOU,2021,7,REG,ARI,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,6,9.0,0,0.0,0.0,0.0,-2.9919143,0,3,3,18.0,0,0.0,0.0,5.0,13.0,1.0,1.1291337,0,3.6,0.09677419,0.03267974,0.1680371,0.0,2.7,5.7
00-0027966,M.Ingram,Mark Ingram,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qyju9wutyssrf0b26ran",NO,2021,8,REG,TB,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,6,27.0,0,0.0,0.0,1.0,0.6501519,0,2,2,25.0,0,0.0,0.0,-7.0,32.0,1.0,1.3805166,0,-3.5714285,0.057142857,-0.037037037,0.05978836,0.0,5.2,7.2
00-0027966,M.Ingram,Mark Ingram,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qyju9wutyssrf0b26ran",NO,2021,9,REG,ATL,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,9,43.0,0,0.0,0.0,1.0,-0.85734475,0,5,5,21.0,0,0.0,0.0,-4.0,25.0,1.0,-1.1530412,0,-5.25,0.11904762,-0.012084592,0.17011221,0.0,6.4,11.4
00-0027966,M.Ingram,Mark Ingram,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qyju9wutyssrf0b26ran",NO,2021,10,REG,TEN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,14,47.0,1,0.0,0.0,2.0,-0.56097496,0,4,7,61.0,0,0.0,0.0,2.0,40.0,3.0,1.1915091,0,30.5,0.2,0.006451613,0.30451614,0.0,16.8,20.8
00-0027966,M.Ingram,Mark Ingram,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qyju9wutyssrf0b26ran",NO,2021,11,REG,PHI,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,16,88.0,0,1.0,1.0,4.0,-3.339026,0,6,8,25.0,0,0.0,0.0,-7.0,28.0,2.0,0.016184594,0,-3.5714285,0.22222222,-0.026717557,0.31463104,0.0,9.3,15.3
