carries,rushing_yards,rushing_tds,rushing_first_downs,receptions,targets,receiving_yards,receiving_yards_after_catch,receiving_first_downs,target_share,wopr_x,fantasy_points_ppr,tgt_sh,yac_sh,wopr_y,ry_sh,yptmpa,ppr_sh,player_id,player_name,season,team
24,87.0,0,5.0,3,5,17.0,25.0,1.0,0.1825396825396825,0.2160681742954466,13.4,0.0581395348837209,0.0856164383561643,0.0726373533274028,0.0260736196319018,0.1976744186046511,0.0505507771238871,00-0026144,Darren McFadden,2016,DAL
1,-2.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,-0.0034879665155214,00-0026144,Darren McFadden,2017,DAL
218,824.0,9,47.0,8,21,60.0,74.0,1.0,0.6398780836511729,1.013078439287968,146.4,0.0465631929046563,0.0684551341350601,0.0743092667126402,0.0194678780012978,0.1330376940133037,0.1403804848112918,00-0026153,Jonathan Stewart,2016,CAR
198,680.0,6,41.0,8,15,52.0,69.0,2.0,0.4910382648255647,0.671847604589417,117.2,0.032119914346895,0.0442875481386392,0.0447060528741101,0.0165657852819369,0.1113490364025695,0.0978329827373201,00-0026153,Jonathan Stewart,2017,CAR
6,17.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.7000000000000002,0.0,0.0,0.0,0.0,0.0,0.0066070734551107,00-0026153,Jonathan Stewart,2018,NYG
25,95.0,1,5.0,0,1,0.0,0.0,0.0,0.0222222222222222,0.036318407960199,15.5,0.0059523809523809,0.0,0.0098269431298628,0.0,0.0,0.0422320309519917,00-0026164,Chris Johnson,2016,ARI
45,114.0,0,3.0,5,6,43.0,30.0,2.0,0.1232174688057041,0.2188960181721017,20.700000000000003,0.0335195530726257,0.0622406639004149,0.0600057733779355,0.0329501915708812,0.2402234636871508,0.0576441102756892,00-0026164,Chris Johnson,2017,ARI
218,813.0,7,35.0,30,43,263.0,275.0,10.0,1.2870659048241229,1.8904090525353456,183.6,0.0866935483870967,0.1874573960463531,0.1249888726274178,0.0797211276144286,0.530241935483871,0.1756500774926812,00-0026184,Matt Forte,2016,NYJ
103,381.0,2,12.0,37,45,293.0,252.0,13.0,1.484490047705992,2.451739323897766,120.4,0.1206434316353887,0.22992700729927,0.2033975798855155,0.1145426114151681,0.7855227882037533,0.1307388263910003,00-0026184,Matt Forte,2017,NYJ
12,40.0,1,3.0,2,3,14.0,17.0,1.0,0.111317254174397,0.1439359687410925,13.4,0.0309278350515463,0.0546623794212218,0.0382403697534476,0.0193103448275862,0.1443298969072164,0.0515979976896418,00-0026213,Jamaal Charles,2016,KC
69,296.0,1,16.0,23,28,129.0,159.0,6.0,0.7924511440646291,1.124046224312392,67.5,0.0594479830148619,0.1204545454545454,0.0845243362297949,0.043581081081081,0.2738853503184713,0.0703418090871196,00-0026213,Jamaal Charles,2017,DEN
6,7.0,0,0.0,2,3,7.0,5.0,0.0,0.1019230769230769,0.1653329941314786,3.4,0.0441176470588235,0.0316455696202531,0.0730434233779348,0.0191256830601092,0.1029411764705882,0.0291245502826794,00-0026213,Jamaal Charles,2018,JAX
8,13.0,0,5.0,6,9,57.0,34.0,4.0,0.2639326823846948,0.4768708778954763,13.0,0.0254957507082152,0.0442708333333333,0.0457180082202494,0.0245795601552393,0.1614730878186968,0.013419216317767,00-0026286,Jerome Felton,2016,BUF
133,548.0,4,32.0,22,26,200.0,210.0,11.0,0.6534285379909931,0.9402004157615936,126.8,0.0416,0.0942126514131897,0.0600475910427505,0.0417275192989776,0.32,0.0757956148530712,00-0026289,Tim Hightower,2016,NO
87,291.0,1,10.0,20,27,85.0,100.0,4.0,0.6977691658030923,1.0734145319826882,61.6,0.0794117647058823,0.0928505106778087,0.1211666774283807,0.0364650364650364,0.25,0.0856816980554705,00-0026373,Justin Forsett,2016,DEN
2,0.0,0,0.0,5,5,73.0,32.0,2.0,0.147002772002772,0.3011564303001039,14.3,0.0337837837837837,0.0778588807785888,0.0740875243551903,0.065236818588025,0.4932432432432432,0.0385486305801164,00-0026393,Marcel Reece,2016,SEA
22,55.0,0,2.0,6,10,78.0,68.0,2.0,0.3676851851851851,0.6621953306919681,19.3,0.0763358778625954,0.140495867768595,0.1417765440666204,0.075801749271137,0.5954198473282443,0.0535724199189474,00-0026796,Arian Foster,2016,MIA
10,47.0,0,1.0,6,9,77.0,74.0,2.0,0.2492816091954023,0.4307325160948937,16.4,0.0818181818181818,0.2256097560975609,0.1493685667329815,0.0980891719745223,0.7,0.0503067484662576,00-0026855,Antone Smith,2016,TB
6,15.0,0,0.0,0,1,0.0,0.0,0.0,0.04,0.06,1.5,0.0357142857142857,0.0,0.0535714285714285,0.0,0.0,0.0172532781228433,00-0026932,Cedric Peerman,2016,CIN
234,1267.0,13,55.0,50,57,356.0,388.0,18.0,1.9970029446789657,2.902724090349018,298.3,0.1313364055299539,0.3433628318584071,0.1914102027005252,0.1174142480211081,0.8202764976958525,0.2392563242913745,00-0027029,LeSean McCoy,2016,BUF
287,1138.0,6,56.0,59,77,448.0,395.0,23.0,2.651314242691818,4.184684124867424,263.6,0.1621052631578947,0.3031465848042978,0.2633178171986787,0.1461663947797716,0.943157894736842,0.2356095816946728,00-0027029,LeSean McCoy,2017,BUF
161,514.0,3,22.0,34,46,238.0,288.0,10.0,1.4768019972022282,2.058599968859103,127.2,0.1022222222222222,0.2482758620689655,0.1443010752688172,0.0897435897435897,0.5288888888888889,0.1386859722191936,00-0027029,LeSean McCoy,2018,BUF
101,465.0,4,24.0,28,34,181.0,236.0,6.0,0.985266066630164,1.4126997610927312,118.6,0.0728051391862955,0.1299559471365639,0.1045327635639574,0.0473946059177795,0.3875802997858672,0.094272133284581,00-0027029,LeSean McCoy,2019,KC
10,31.0,0,2.0,15,19,101.0,102.0,3.0,0.5393943662937023,0.8619073309775003,28.2,0.0648464163822525,0.1125827814569536,0.1032397738271101,0.0427061310782241,0.3447098976109215,0.031760333370875,00-0027029,LeSean McCoy,2020,TB
181,593.0,3,29.0,35,42,201.0,269.0,8.0,1.0917857155927144,1.423234519044412,138.4,0.0875,0.1770901909150757,0.1132017313746064,0.0624805719614547,0.41875,0.1257633032858389,00-0027155,Rashad Jennings,2016,NYG
3,6.0,0,0.0,1,1,-2.0,0.0,0.0,0.0294117647058823,0.0383799421407907,1.4,0.0140845070422535,0.0,0.0179009541117673,-0.0038095238095238,-0.028169014084507,0.0078962210941906,00-0027218,Joique Bell,2016,DET
299,1161.0,18,67.0,7,8,38.0,43.0,1.0,0.2537425337425337,0.3640910831669586,232.9,0.0145454545454545,0.0186470078057242,0.0210673606074826,0.0085278276481149,0.069090909090909,0.1454679458352071,00-0027325,LeGarrette Blount,2016,NE
173,766.0,2,30.0,8,8,50.0,47.0,3.0,0.2104178393845576,0.3168062772129971,107.6,0.0141843971631205,0.0303030303030303,0.0217312273036882,0.0126039828585833,0.0886524822695035,0.0704243788779223,00-0027325,LeGarrette Blount,2017,PHI
154,418.0,5,25.0,10,15,67.0,87.0,4.0,0.456072491366609,0.6387117943949812,86.5,0.0261324041811846,0.0422535211267605,0.0353775906860555,0.0174297606659729,0.1167247386759581,0.0650786963194799,00-0027325,LeGarrette Blount,2018,DET
117,439.0,3,21.0,20,28,186.0,189.0,9.0,0.7409801555001765,1.1015204109050627,94.5,0.0668257756563245,0.1696588868940754,0.1000100920559154,0.0733149389042175,0.4439140811455847,0.1039055284338303,00-0027531,Chris Ivory,2016,JAX
112,382.0,1,16.0,21,28,175.0,185.0,8.0,0.8268756151109092,1.224715664922459,84.7,0.0632054176072234,0.1111778846153846,0.0936140965600889,0.0551007556675062,0.3950338600451467,0.0709178290938928,00-0027531,Chris Ivory,2017,JAX
