receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,target_share,air_yards_share,wopr_x,fantasy_points_ppr,wopr_y,ry_sh,rfd_sh,rtdfd_sh,w8dom,yptmpa,ppr_sh,tgt_sh,player_id,player_name,season
70,101,799.0,5,873.0,281.0,39.0,2.555080416735904,3.029864692940317,5.953525910162077,183.9,0.4263406079773064,0.2109292502639915,0.2119565217391304,0.2156862745098039,0.2187434002111932,1.3611584327086883,0.142810548877085,0.1720613287904599,00-0020337,Steve Smith,2016
9,23,85.0,2,268.0,15.0,4.0,0.6992309858163517,0.8857919386148592,1.6689008357549289,29.5,0.2893105977264393,0.0643939393939393,0.0634920634920634,0.0833333333333333,0.0959595959595959,0.4207920792079208,0.0595358224016145,0.1138613861386138,00-0022044,Andre Johnson,2016
67,95,584.0,8,546.0,231.0,41.0,2.668356331875066,2.302213925970724,5.614084245992105,173.4,0.3387001661034685,0.1349664894846313,0.1889400921658986,0.2033195020746888,0.1746398582543717,0.9831649831649832,0.1232602112625997,0.1599326599326599,00-0022084,Anquan Boldin,2016
107,150,1023.0,6,1150.0,358.0,59.0,3.766995677611273,3.043970344244329,7.781272757387938,243.8,0.4965886385094605,0.2311864406779661,0.2576419213973799,0.2529182879377432,0.2278062953995157,1.58359133126935,0.1600052503773708,0.2321981424148606,00-0022921,Larry Fitzgerald,2016
109,161,1156.0,6,1336.0,408.0,66.0,4.499437705626207,3.863226048823236,9.453414792615575,261.44,0.5878998821051516,0.2905252576024126,0.33,0.3257918552036199,0.2895630632247873,1.9331103678929769,0.211408147752818,0.2692307692307692,00-0022921,Larry Fitzgerald,2017
69,112,734.0,6,1033.0,205.0,39.0,3.652458618010189,4.354660922045175,8.526950572446905,185.68,0.5470843138598857,0.254507628294036,0.2846715328467153,0.2960526315789473,0.2836061026352289,1.4828282828282828,0.189283966726472,0.2262626262626262,00-0022921,Larry Fitzgerald,2018
73,107,835.0,4,830.0,396.0,38.0,3.1974660756772044,3.232058237573144,7.058639879817007,178.5,0.4502543311462346,0.2181865691141886,0.2183908045977011,0.2164948453608247,0.2145492552913509,1.515426497277677,0.1299902416289197,0.1941923774954627,00-0022921,Larry Fitzgerald,2019
54,72,409.0,1,432.0,185.0,25.0,2.073076236474471,1.515949347895749,4.170778898238731,100.9,0.3184836332856925,0.1146621811045696,0.1404494382022472,0.1293532338308457,0.1004253970575687,0.8610526315789474,0.0759057534906114,0.151578947368421,00-0022921,Larry Fitzgerald,2020
15,32,173.0,0,435.0,16.0,8.0,0.8100075556538404,1.070201148024056,1.9641521370976,32.300000000000004,0.400243999915862,0.1303692539562924,0.1212121212121212,0.1066666666666666,0.1042954031650339,0.8357487922705314,0.0742392203732646,0.1545893719806763,00-0023496,Vincent Jackson,2016
59,128,788.0,3,1602.0,176.0,43.0,3.735114411250649,5.262803558034098,9.28663410749984,155.8,0.6471145506704917,0.2294032023289665,0.2774193548387096,0.272189349112426,0.2263797047203161,1.515384615384615,0.1448763250883392,0.2461538461538461,00-0024334,Brandon Marshall,2016
18,33,154.0,0,341.0,39.0,11.0,0.7829706770726208,1.1551181331442355,1.983038708809896,33.400000000000006,0.4203708417114205,0.1150971599402092,0.171875,0.1527777777777778,0.0920777279521674,0.7623762376237624,0.0753576102161455,0.1633663366336633,00-0024334,Brandon Marshall,2017
11,23,136.0,1,257.0,23.0,7.0,0.8197462034532973,1.044757798885062,1.960949764399489,30.6,0.3492408750077462,0.1039755351681957,0.125,0.1159420289855072,0.0985650435191719,0.8242424242424242,0.0602575715804812,0.1393939393939394,00-0024334,Brandon Marshall,2018
1,2,5.0,0,2.0,5.0,0.0,0.0616698292220113,0.0081967213114754,0.0982424487510498,1.5,0.0327155445487531,0.0085178875638841,0.0,0.0,0.0068143100511073,0.0515463917525773,0.0075308765940355,0.0206185567010309,00-0024535,Eric Weems,2017
54,95,752.0,4,1169.0,182.0,27.0,2.776030356452317,3.237055835774312,6.429984619720495,163.0,0.4168625067762098,0.1898031297324583,0.1391752577319587,0.1441860465116279,0.1899377418812048,1.3357015985790408,0.1249923317587878,0.1687388987566607,00-0025396,Ted Ginn,2016
53,70,787.0,4,842.0,302.0,32.0,2.1396758778362384,3.769369490933086,5.848072460407518,159.6,0.4190626939788951,0.1941771527263755,0.1702127659574468,0.1722488038277512,0.1934369602763385,1.574,0.1104253729277945,0.14,00-0025396,Ted Ginn,2017
17,30,209.0,2,499.0,48.0,10.0,0.7548499119927692,1.6808642075930735,2.308879813304305,52.5,0.4876309061610814,0.1281422440220723,0.1298701298701298,0.1395348837209302,0.1469582396621023,1.0295566502463054,0.0914889167712254,0.1477832512315271,00-0025396,Ted Ginn,2018
30,56,421.0,2,891.0,48.0,20.0,1.601461402360275,3.895591500485424,5.129106153880208,85.9,0.3580283366018112,0.0995742667928098,0.091324200913242,0.0862745098039215,0.0907705245453589,0.7710622710622711,0.0542291132687718,0.1025641025641025,00-0025396,Ted Ginn,2019
3,6,40.0,0,121.0,10.0,1.0,0.1366213151927437,0.252239262513274,0.3814994565484074,7.0,0.1469604243166054,0.0495662949194547,0.024390243902439,0.0204081632653061,0.0396530359355638,0.3100775193798449,0.0237545812406678,0.0465116279069767,00-0025396,Ted Ginn,2020
6,8,35.0,1,14.0,31.0,2.0,0.2344444444444444,0.0654794027702824,0.3975022486058643,27.1,0.2232615958355994,0.0755939524838013,0.0909090909090909,0.1111111111111111,0.100475161987041,0.5737704918032787,0.1332874286838481,0.1311475409836065,00-0026019,Danny Woodhead,2016
33,39,200.0,0,108.0,118.0,9.0,1.1668037807949538,0.6626145938044906,2.2140358868555743,58.6,0.2584331220618846,0.1154068090017311,0.1111111111111111,0.0978260869565217,0.0923254472013848,0.7246376811594203,0.0864153837078983,0.1413043478260869,00-0026019,Danny Woodhead,2017
23,29,243.0,4,255.0,73.0,14.0,0.8591244237866859,1.0142648573746276,1.9986720358422685,69.3,0.1784911666079403,0.0772900763358778,0.0958904109589041,0.1077844311377245,0.0999272991639403,0.6214833759590793,0.0628936525511408,0.0741687979539642,00-0026035,Danny Amendola,2016
61,86,659.0,2,682.0,210.0,40.0,2.337996472755937,2.0637677998876622,4.951632169055269,138.9,0.3429088490165762,0.1579578139980824,0.1877934272300469,0.1735537190082644,0.1401593546467418,1.2025547445255471,0.0932164715988403,0.156934306569343,00-0026035,Danny Amendola,2017
59,79,575.0,1,589.0,229.0,27.0,2.7921701321815737,2.771357222745254,6.128205254194038,127.42,0.411205731623365,0.1812736443883985,0.1888111888111888,0.1686746987951807,0.1537145676846318,1.334106728538283,0.112375207252972,0.1832946635730858,00-0026035,Danny Amendola,2018
62,97,678.0,1,855.0,207.0,36.0,2.6834422795639403,2.5352042008592486,5.799806359947384,140.56,0.4063684496349525,0.1740246406570842,0.2011173184357542,0.1813725490196078,0.1472197125256673,1.2625698324022343,0.1099207031922048,0.180633147113594,00-0026035,Danny Amendola,2019
46,69,602.0,0,558.0,290.0,30.0,1.955755471321592,1.9248125407478835,4.281001985505907,106.4,0.305063355919019,0.1534148827726809,0.1546391752577319,0.1363636363636363,0.1227319062181447,1.1897233201581028,0.0793816586588677,0.1363636363636363,00-0026035,Danny Amendola,2020
24,38,248.0,3,321.0,105.0,10.0,1.1841794503610772,1.169489012442154,2.5949114842511234,68.8,0.3438909634055265,0.1401921989824759,0.131578947368421,0.1494252873563218,0.1666992137314353,0.953846153846154,0.111496450912391,0.1461538461538461,00-0026035,Danny Amendola,2021
97,152,1257.0,14,1862.0,361.0,62.0,4.091770566574728,5.334186596295983,9.87158646726928,304.7,0.6442594777151686,0.2827896512935883,0.2792792792792792,0.2900763358778626,0.2962317210348706,2.0274193548387096,0.1863152745505686,0.2451612903225806,00-0026176,Jordy Nelson,2016
53,88,482.0,6,964.0,128.0,38.0,2.6963212410908115,3.954150533982472,6.812387235423947,137.2,0.4881564400221116,0.1608811748998664,0.2567567567567567,0.2588235294117647,0.1832503944653477,1.0041666666666669,0.121347201584943,0.1833333333333333,00-0026176,Jordy Nelson,2017
63,88,739.0,3,812.0,241.0,36.0,2.6753545435315385,3.7593701799373145,6.644590941253427,156.70000000000002,0.4344144869215292,0.1912031047865459,0.1914893617021276,0.1902439024390244,0.1882566014762955,1.4076190476190475,0.1266058010826533,0.1676190476190476,00-0026176,Jordy Nelson,2018
33,43,369.0,2,258.0,187.0,16.0,1.215186863456718,0.9158641694650714,2.4638852138106278,87.9,0.2567050806454027,0.1464867010718539,0.1290322580645161,0.1323529411764706,0.1505226941908164,1.0573065902578798,0.1127993224341041,0.1232091690544412,00-0026182,Eddie Royal,2016
56,100,1005.0,4,1489.0,281.0,35.0,2.727827586165259,4.575614374971843,7.294671441728179,180.5,0.5018247484542857,0.2144686299615877,0.1674641148325359,0.168103448275862,0.2063575126649223,1.7508710801393728,0.1205068632163648,0.1742160278745644,00-0026189,DeSean Jackson,2016
50,90,668.0,3,1444.0,191.0,36.0,2.39444008338508,3.800468182996483,6.251987853175158,138.6,0.4762889341417133,0.1722981686871292,0.1698113207547169,0.1652542372881356,0.1628385349497033,1.267552182163188,0.1116679289063632,0.1707779886148007,00-0026189,DeSean Jackson,2017
41,74,774.0,4,1421.0,181.0,31.0,1.8532199628926205,3.371879070776341,5.1401452938823695,151.3,0.4395028088286326,0.1761492944924897,0.1396396396396396,0.14,0.1694908641654204,1.557344064386318,0.1128464452996807,0.1488933601609658,00-0026189,DeSean Jackson,2018
9,10,159.0,2,147.0,15.0,6.0,0.2564102564102564,0.4304958192612264,0.6859624580982431,36.9,0.3743510359609431,0.2880434782608695,0.2068965517241379,0.2424242424242424,0.3304347826086956,2.0384615384615383,0.1739089452351776,0.1282051282051282,00-0026189,DeSean Jackson,2019
14,26,236.0,1,432.0,65.0,10.0,0.6284509369157862,1.123410942065184,1.729064064819308,44.8,0.3637555956962224,0.1641168289290681,0.1538461538461538,0.1549295774647887,0.1646267964765878,1.102803738317757,0.0991106588204061,0.1214953271028037,00-0026189,DeSean Jackson,2020
20,34,454.0,2,647.0,175.0,12.0,1.0111582805675805,2.1339702964201117,3.010516628345448,75.80000000000001,0.2261964153732446,0.1150240689130985,0.0638297872340425,0.0657276995305164,0.1080192551304788,0.9227642276422764,0.058574431256182,0.0691056910569105,00-0026189,DeSean Jackson,2021
9,17,153.0,0,302.0,23.0,5.0,0.7240323402088108,1.399621265457681,2.0657833961335927,24.3,0.3033125931445604,0.1427238805970149,0.1020408163265306,0.0943396226415094,0.1141791044776119,0.8693181818181818,0.0554693206720233,0.096590909090909,00-0026189,DeSean Jackson,2022
15,22,210.0,0,229.0,50.0,9.0,0.648373830717415,0.652947616357508,1.4296240775263782,36.0,0.2129068462401795,0.1292307692307692,0.1111111111111111,0.0978260869565217,0.1033846153846154,0.8641975308641975,0.0637845499645641,0.0905349794238683,00-0026224,Harry Douglas,2016
1,3,8.0,0,26.0,12.0,0.0,0.125,0.1468926553672316,0.2903248587570621,1.8,0.2912299465240642,0.0434782608695652,0.0,0.0,0.0347826086956521,0.32,0.0281425891181988,0.12,00-0026224,Harry Douglas,2017
0,1,0.0,0,49.0,0.0,0.0,0.0285714285714285,0.1707317073170731,0.162369337979094,0.5,0.0847451339792266,0.0,0.0,0.0,0.0,0.0,0.001999200319872,0.0131578947368421,00-0026293,Matthew Slater,2016
