,Round,,Pick #,,Next Pick,On Deck,,,,,,,,Top minus bottom,,,,,,,10.00
,1,,1,,Todd,Cooper,,,,League Site,ESPN,League Type:,Standard,ESPN Rank,,,,,,,SM
,,,,,,,,,,,,,,,,,,,,,
,,,,Click to Draft Player,,,,,,From ESPN,,From FantasyPros.com,,Avg Rank,Dynasty,SleeperPPR,,,,Custom,
Default Rank,Owner,Pick #,Drafted,Draft,Player,Pos,Team,Bye,Status,ESPN Rank,ESPN ADP,Avg Rank,Avg ADP,Diff,Rank,ADP,ESPN - Sleeper ADP,VBD,Prj Points,Rank,
46,,,No,FALSE,Marvin Harrison Jr.,WR,ARI,8,,46,50.4,39,39.5,7,20,35.7,14.7,55,154.4,,
47,,,No,FALSE,DK Metcalf,WR,PIT,5,,47,48.8,45,50.5,2,42,47.4,1.4,53,152.2,,
48,,,No,FALSE,DJ Moore,WR,CHI,5,,48,63.3,49,46.5,-1,50,46.2,17.1,44,142.8,,
49,,,No,FALSE,Rashee Rice,WR,KC,10,Q: Aug 15,49,68.1,62,48.0,-13,32,43.6,24.5,20,118.7,,
50,,,No,FALSE,Xavier Worthy,WR,KC,10,,50,56.7,53,58.5,-3,48,55.9,0.8,46,145.2,,
51,,,No,FALSE,Joe Mixon,RB,HOU,6,Out: Sep 7,51,63.6,70,57.0,-19,88,51.1,12.5,72,159.8,,
52,,,No,FALSE,D'Andre Swift,RB,CHI,5,,52,66.3,57,60.5,-5,101,74.7,-8.4,78,166.6,,
53,,,No,FALSE,Zay Flowers,WR,BAL,7,,53,64.5,51,60.0,2,36,53.9,10.6,46,145.1,,
54,,,No,FALSE,Courtland Sutton,WR,DEN,12,,54,69.7,50,50.0,4,94,50.0,19.7,45,144.3,,
55,,,No,FALSE,Calvin Ridley,WR,TEN,10,,55,76.2,58,69.5,-3,107,75.3,0.9,42,140.7,,
56,,,No,FALSE,DeVonta Smith,WR,PHI,9,,56,72.9,54,55.0,2,34,53.0,19.9,38,137.5,,
57,,,No,FALSE,Jaylen Waddle,WR,MIA,12,Q: Aug 16,57,80.0,61,72.5,-4,46,67.2,12.8,28,127.1,,
58,,,No,FALSE,Jerry Jeudy,WR,CLE,9,,58,81.2,79,70.0,-21,70,73.0,8.2,34,132.9,,
59,,,No,FALSE,Jameson Williams,WR,DET,8,,59,79.9,48,60.5,11,54,59.7,20.2,43,142.0,,
60,,,No,FALSE,George Pickens,WR,DAL,10,,60,77.1,56,66.0,4,65,59.3,17.8,38,137.2,,
61,,,No,FALSE,Sam LaPorta,TE,DET,8,,61,48.2,55,56.0,6,37,49.5,-1.3,38,115.8,,
62,,,No,FALSE,Patrick Mahomes,QB,KC,10,,62,51.8,60,59.0,2,43,58.7,-6.9,51,315.2,,
63,,,No,FALSE,Baker Mayfield,QB,TB,9,,63,62.2,72,72.0,-9,93,68.3,-6.1,44,307.2,,
64,,,No,FALSE,Rome Odunze,WR,CHI,5,,64,91.4,78,80.5,-14,39,80.5,10.9,20,119.4,,
65,,,No,FALSE,Tetairoa McMillan,WR,CAR,14,,65,88.3,65,56.5,0,29,62.0,26.3,19,118.4,,
66,,,No,FALSE,Travis Hunter,WR,JAX,8,,66,71.2,75,68.5,-9,30,63.2,8.0,22,120.7,,
67,,,No,FALSE,TreVeyon Henderson,RB,NE,14,,67,85.2,59,56.0,8,45,65.5,19.7,67,154.9,,
68,,,No,FALSE,Aaron Jones Sr.,RB,MIN,6,,68,81.3,66,63.0,2,118,69.1,12.2,73,161.0,,
69,,,No,FALSE,T.J. Hockenson,TE,MIN,6,,69,66.7,74,66.0,-5,58,57.4,9.3,28,106.4,,
70,,,No,FALSE,David Montgomery,RB,DET,8,,70,72.5,52,56.5,18,79,56.7,15.8,76,164.6,,
71,,,No,FALSE,Kaleb Johnson,RB,PIT,5,,71,88.4,68,68.0,3,60,81.5,6.9,56,144.4,,
72,,,No,FALSE,RJ Harvey,RB,DEN,12,,72,94.7,64,54.5,8,66,61.1,33.6,53,141.6,,
73,,,No,FALSE,Chris Godwin,WR,TB,9,Out: Aug 16,73,101.7,94,76.5,-21,92,77.6,24.1,23,122.1,,
74,,,No,FALSE,Jakobi Meyers,WR,LV,8,,74,99.3,96,93.0,-22,108,82.8,16.5,29,128.3,,
75,,,No,FALSE,Chris Olave,WR,NO,11,Q: Aug 17,75,100.6,76,72.0,-1,52,70.8,29.8,19,117.7,,
76,,,No,FALSE,Cooper Kupp,WR,SEA,8,,76,93.8,122,88.0,-46,130,87.8,6.0,16,113.4,,
77,,,No,FALSE,Stefon Diggs,WR,NE,14,Q: Aug 16,77,99.1,101,90.0,-24,120,89.7,9.4,18,116.5,,
78,,,No,FALSE,Matthew Golden,WR,GB,5,,78,101.0,130,95.5,-52,74,98.3,2.7,23,122.3,,
79,,,No,FALSE,Jordan Addison,WR,MIN,6,,79,107.4,82,76.0,-3,44,71.5,35.9,16,112.3,,
80,,,No,FALSE,Tony Pollard,RB,TEN,10,,80,100.2,67,69.5,13,97,77.0,23.2,67,154.9,,
81,,,No,FALSE,Isiah Pacheco,RB,KC,10,,81,89.4,63,63.5,18,102,64.3,25.1,56,144.3,,
82,,,No,FALSE,Tyrone Tracy Jr.,RB,NYG,14,,82,108.9,80,78.0,2,105,85.2,23.7,46,134.1,,
83,,,No,FALSE,Travis Kelce,TE,KC,10,,83,66.0,81,69.5,2,116,66.0,0.0,28,105.9,,
84,,,No,FALSE,David Njoku,TE,CLE,9,,84,81.6,93,103.5,-9,81,94.9,-13.3,23,101.0,,
85,,,No,FALSE,Mark Andrews,TE,BAL,7,,85,81.5,69,87.0,16,82,79.3,2.2,39,117.3,,
86,,,No,FALSE,Evan Engram,TE,DEN,12,,86,93.9,99,88.0,-13,103,88.9,5.0,5,83.6,,
87,,,No,FALSE,Bo Nix,QB,DEN,12,,87,80.2,73,79.5,14,63,76.3,3.9,33,296.5,,
88,,,No,FALSE,Kyler Murray,QB,ARI,8,,88,93.2,77,92.0,11,83,97.7,-4.6,44,308.0,,
89,,,No,FALSE,Brock Purdy,QB,SF,14,,89,96.5,86,112.0,3,90,109.8,-13.3,33,296.6,,
90,,,No,FALSE,Jaylen Warren,RB,PIT,5,,90,114.8,88,83.5,2,136,92.5,22.3,40,128.4,,
91,,,No,FALSE,Brian Robinson Jr.,RB,WSH,12,,91,105.7,71,79.5,20,100,83.0,22.7,56,143.8,,
92,,,No,FALSE,Javonte Williams,RB,DAL,10,,92,110.5,103,98.5,-11,149,106.3,4.2,32,119.8,,
93,,,No,FALSE,Rhamondre Stevenson,RB,NE,14,Q: Aug 16,93,119.2,105,107.5,-12,142,113.8,5.4,26,113.8,,
94,,,No,FALSE,Cam Skattebo,RB,NYG,14,Q: Aug 16,94,113.0,113,96.5,-19,110,100.3,12.7,18,104.4,,
