,Round,,Pick #,,Next Pick,On Deck,,,,,,,,Top minus bottom,,,,,,,10.00
,1,,1,,Todd,Cooper,,,,League Site,ESPN,League Type:,Standard,ESPN Rank,,,,,,,SM
,,,,,,,,,,,,,,,,,,,,,
,,,,Click to Draft Player,,,,,,From ESPN,,From FantasyPros.com,,Avg Rank,Dynasty,SleeperPPR,,,,Custom,
Default Rank,Owner,Pick #,Drafted,Draft,Player,Pos,Team,Bye,Status,ESPN Rank,ESPN ADP,Avg Rank,Avg ADP,Diff,Rank,ADP,ESPN - Sleeper ADP,VBD,Prj Points,Rank,
188,,,No,FALSE,Chris Boswell,K,PIT,5,,188,141.1,206,249.5,-18,327,155.5,-14.4,0,0.0,,
189,,,No,FALSE,Harrison Butker,K,KC,10,,189,148.1,217,227.0,-28,284,158.5,-10.4,0,0.0,,
190,,,No,FALSE,Cairo Santos,K,CHI,5,,190,164.8,423,NA,-233,368,NA,#VALUE!,0,0.0,,
191,,,No,FALSE,Tyler Loop,K,BAL,7,,191,163.9,327,274.5,-136,NA,182.9,-19.0,0,0.0,,
192,,,No,FALSE,Matt Gay,K,WSH,12,,192,164.3,266,257.0,-74,305,NA,#VALUE!,0,0.0,,
193,,,No,FALSE,Christian Kirk,WR,HOU,6,,193,169.6,137,147.5,56,143,146.3,23.3,2,84.8,,
194,,,No,FALSE,Romeo Doubs,WR,GB,5,,194,169.5,159,191.5,35,151,209.0,-39.5,1,82.2,,
195,,,No,FALSE,Justice Hill,RB,BAL,7,,195,169.8,230,181.5,-35,275,214.2,-44.4,0,58.7,,
196,,,No,FALSE,Kareem Hunt,RB,KC,10,,196,169.1,197,196.5,-1,267,203.6,-34.5,0,68.3,,
197,,,No,FALSE,Tyler Lockett,WR,TEN,10,,197,169.5,236,252.5,-39,236,221.8,-52.3,0,77.8,,
198,,,No,FALSE,Trevor Lawrence,QB,JAX,8,,198,165.9,117,141.5,81,99,167.1,-1.2,5,260.4,,
199,,,No,FALSE,Cameron Ward,QB,TEN,10,,199,162.0,184,163.5,15,124,149.5,12.5,0,241.5,,
200,,,No,FALSE,Michael Penix Jr.,QB,ATL,5,,200,166.2,150,162.0,50,123,170.3,-4.1,0,250.5,,
201,,,No,FALSE,DeMario Douglas,WR,NE,14,,201,170.2,180,190.5,21,186,206.1,-35.9,0,75.5,,
202,,,No,FALSE,Nick Westbrook-Ikhine,WR,MIA,12,,202,170.5,258,NA,-56,272,NA,#VALUE!,0,64.5,,
203,,,No,FALSE,Joshua Palmer,WR,BUF,7,,203,170.3,179,195.0,24,180,200.8,-30.5,0,78.6,,
204,,,No,FALSE,Diontae Johnson,WR,CLE,9,,204,170.5,248,277.0,-44,204,266.5,-96.0,0,65.4,,
205,,,No,FALSE,Brandin Cooks,WR,NO,11,,205,170.4,265,291.0,-60,261,NA,#VALUE!,0,60.7,,
206,,,No,FALSE,Brenton Strange,TE,JAX,8,,206,169.5,182,170.5,24,181,173.2,-3.7,0,73.4,,
207,,,No,FALSE,Mike Gesicki,TE,CIN,10,Q: Aug 18,207,168.8,199,190.0,8,190,191.0,-22.2,0,72.6,,
208,,,No,FALSE,Darius Slayton,WR,NYG,14,Q: Aug 16,208,170.4,208,252.5,0,229,253.9,-83.5,0,64.5,,
209,,,No,FALSE,DeAndre Hopkins,WR,BAL,7,,209,168.9,174,168.5,35,195,201.1,-32.2,0,64.9,,
210,,,No,FALSE,Quentin Johnston,WR,LAC,12,,210,168.9,164,185.0,46,170,199.2,-30.3,0,79.5,,
211,,,No,FALSE,Dont'e Thornton Jr.,WR,LV,8,,211,170.0,297,260.0,-86,253,189.9,-19.9,0,53.2,,
212,,,No,FALSE,Blake Corum,RB,LAR,8,,212,170.2,172,199.0,40,184,209.9,-39.7,0,59.2,,
213,,,No,FALSE,Nick Chubb,RB,HOU,6,Q: Aug 16,213,163.5,144,146.5,69,215,143.4,20.1,7,82.0,,
214,,,No,FALSE,Woody Marks,RB,HOU,6,,214,170.4,246,223.0,-32,239,250.7,-80.3,0,55.4,,
215,,,No,FALSE,Elijah Arroyo,TE,SEA,8,,215,169.5,241,218.5,-26,158,203.9,-34.4,0,59.7,,
216,,,No,FALSE,Mason Taylor,TE,NYJ,9,,216,170.0,218,175.0,-2,134,196.6,-26.6,0,58.8,,
217,,,No,FALSE,Cade Otton,TE,TB,9,Q: Aug 16,217,169.4,192,177.0,25,163,205.3,-35.9,1,76.2,,
218,,,No,FALSE,Bryce Young,QB,CAR,14,,218,166.9,145,163.5,73,138,190.5,-23.6,0,244.6,,
219,,,No,FALSE,Geno Smith,QB,LV,8,,219,169.0,167,175.0,52,175,211.3,-42.3,0,248.3,,
220,,,No,FALSE,Anthony Richardson Sr.,QB,IND,11,,220,168.9,220,181.5,0,162,213.3,-44.4,0,197.1,,
221,,,No,FALSE,Kendre Miller,RB,NO,11,,221,170.3,195,269.5,26,232,287.5,-117.2,0,67.6,,
222,,,No,FALSE,Rico Dowdle,RB,CAR,14,,222,170.1,153,140.5,69,182,173.0,-2.9,6,81.0,,
223,,,No,FALSE,Raheem Mostert,RB,LV,8,,223,170.1,251,251.0,-28,302,242.4,-72.3,0,60.0,,
224,,,No,FALSE,Adonai Mitchell,WR,IND,11,,224,170.2,214,268.0,10,174,262.5,-92.3,0,52.1,,
225,,,No,FALSE,Miles Sanders,RB,DAL,10,Q: Aug 16,225,170.2,215,212.5,10,263,238.7,-68.5,0,64.6,,
226,,,No,FALSE,DJ Giddens,RB,IND,11,,226,170.3,224,205.0,2,202,221.3,-51.0,0,28.0,,
227,,,No,FALSE,Amari Cooper,WR,FA,,,227,170.2,276,246.5,-49,211,245.4,-75.2,0,0.0,,
228,,,No,FALSE,Gabe Davis,WR,FA,,,228,170.3,310,NA,-82,297,NA,#VALUE!,0,0.0,,
229,,,No,FALSE,Dyami Brown,WR,JAX,8,,229,170.3,271,248.5,-42,247,245.6,-75.3,0,70.8,,
230,,,No,FALSE,Josh Reynolds,WR,NYJ,9,,230,170.3,343,NA,-113,385,NA,#VALUE!,0,55.0,,
231,,,No,FALSE,Ray-Ray McCloud III,WR,ATL,5,,231,170.2,337,NA,-106,352,NA,#VALUE!,0,60.5,,
232,,,No,FALSE,Tutu Atwell,WR,LAR,8,,232,170.2,328,297.0,-96,271,296.7,-126.5,0,65.4,,
233,,,No,FALSE,Calvin Austin III,WR,PIT,5,Q: Aug 16,233,170.1,221,259.0,12,244,235.0,-64.9,0,76.3,,
234,,,No,FALSE,Christian Watson,WR,GB,5,Out: Aug 16,234,170.1,290,289.0,-56,185,287.9,-117.8,0,51.4,,
235,,,No,FALSE,Giants D/ST,DST,NYG,14,,235,166.4,354,245.0,-119,NA,231.9,-65.5,0,0.0,,
236,,,No,FALSE,Buccaneers D/ST,DST,TB,9,,236,167.6,264,239.5,-28,NA,184.0,-16.4,0,0.0,,
237,,,No,FALSE,Ka'imi Fairbairn,K,HOU,6,,237,164.5,205,215.0,32,336,161.8,2.6,0,0.0,,
238,,,No,FALSE,Joshua Karty,K,LAR,8,,238,169.5,263,301.0,-25,304,NA,#VALUE!,0,0.0,,
239,,,No,FALSE,Trevor Etienne,RB,CAR,14,,239,170.2,260,254.5,-21,245,293.9,-123.8,0,37.8,,
240,,,No,FALSE,Jarquez Hunter,RB,LAR,8,,240,170.2,239,204.5,1,192,217.8,-47.6,0,43.8,,
241,,,No,FALSE,Sincere McCormick,RB,LV,8,,241,170.2,295,NA,-54,308,NA,#VALUE!,0,19.5,,
242,,,No,FALSE,Antonio Gibson,RB,NE,14,,242,170.2,267,264.0,-25,273,NA,#VALUE!,0,42.7,,
243,,,No,FALSE,Jaleel McLaughlin,RB,DEN,12,,243,170.2,244,239.0,-1,241,299.2,-129.0,0,34.5,,
244,,,No,FALSE,Devin Singletary,RB,NYG,14,,244,170.2,257,301.0,-13,262,NA,#VALUE!,0,36.6,,
245,,,No,FALSE,Samaje Perine,RB,CIN,10,,245,170.1,346,290.0,-101,408,NA,#VALUE!,0,53.8,,
246,,,No,FALSE,Ty Johnson,RB,BUF,7,,246,170.2,282,298.0,-36,331,NA,#VALUE!,0,52.1,,
247,,,No,FALSE,Elijah Mitchell,RB,KC,10,,247,170.1,245,251.0,2,283,286.0,-115.9,0,42.1,,
248,,,No,FALSE,Kenneth Gainwell,RB,PIT,5,,248,170.1,268,306.0,-20,316,NA,#VALUE!,0,33.9,,
249,,,No,FALSE,Ollie Gordon II,RB,MIA,12,,249,170.2,255,265.0,-6,246,NA,#VALUE!,0,21.1,,
250,,,No,FALSE,Sean Tucker,RB,TB,9,,250,170.2,275,307.0,-25,287,NA,#VALUE!,0,33.3,,
251,,,No,FALSE,Clyde Edwards-Helaire,RB,NO,11,,251,170.2,407,NA,-156,NA,NA,#VALUE!,0,18.0,,
252,,,No,FALSE,Noah Brown,WR,WSH,12,,252,170.1,345,NA,-93,343,NA,#VALUE!,0,51.2,,
253,,,No,FALSE,Allen Lazard,WR,NYJ,9,Q: Aug 22,253,170.2,384,NA,-131,403,NA,#VALUE!,0,58.9,,
254,,,No,FALSE,Cardinals D/ST,DST,ARI,8,,254,168.5,332,258.0,-78,301,NA,#VALUE!,0,0.0,,
255,,,No,FALSE,Packers D/ST,DST,GB,5,,255,167.2,212,251.0,43,356,227.6,-60.4,0,0.0,,
256,,,No,FALSE,Brandon McManus,K,GB,5,,256,168.6,364,234.0,-108,317,NA,#VALUE!,0,0.0,,
257,,,No,FALSE,Evan McPherson,K,CIN,10,,257,166.8,219,250.5,38,339,187.0,-20.2,0,0.0,,
258,,,No,FALSE,Pat Freiermuth,TE,PIT,5,,258,168.4,190,192.5,68,148,194.2,-25.8,0,65.9,,
259,,,No,FALSE,Dalton Schultz,TE,HOU,6,,259,169.4,223,206.5,36,212,219.1,-49.7,0,69.4,,
260,,,No,FALSE,Tyler Higbee,TE,LAR,8,,260,169.7,313,282.5,-53,260,290.1,-120.4,0,64.5,,
261,,,No,FALSE,Alec Pierce,WR,IND,11,Q: Aug 16,261,170.2,181,207.5,80,198,218.9,-48.8,0,72.5,,
262,,,No,FALSE,KaVontae Turpin,WR,DAL,10,,262,169.8,344,NA,-82,386,NA,#VALUE!,0,37.8,,
263,,,No,FALSE,Andrei Iosivas,WR,CIN,10,,263,170.0,225,277.0,38,216,280.1,-110.1,0,56.5,,
264,,,No,FALSE,Jalen Tolbert,WR,DAL,10,,264,170.1,256,303.5,8,228,NA,#VALUE!,0,61.7,,
265,,,No,FALSE,Keaton Mitchell,RB,BAL,7,Q: Aug 16,265,170.1,238,282.0,27,249,281.7,-111.6,0,48.0,,
266,,,No,FALSE,Kyle Juszczyk,RB,SF,14,Q: Aug 16,266,170.0,401,NA,-135,NA,NA,#VALUE!,0,25.0,,
267,,,No,FALSE,Sam Darnold,QB,SEA,8,,267,168.9,178,179.5,89,153,212.8,-43.9,0,245.6,,
268,,,No,FALSE,Aaron Rodgers,QB,PIT,5,,268,168.3,203,183.0,65,252,207.8,-39.5,0,227.0,,
269,,,No,FALSE,Russell Wilson,QB,NYG,14,,269,169.7,250,203.5,19,217,251.7,-82.0,0,188.7,,
270,,,No,FALSE,Tyler Shough,QB,NO,11,,270,170.0,292,221.5,-22,203,255.2,-85.2,0,172.7,,
271,,,No,FALSE,Jaylin Noel,WR,HOU,6,,271,170.2,228,229.5,43,137,223.9,-53.7,0,47.6,,
272,,,No,FALSE,Jalen Coker,WR,CAR,14,,272,170.1,194,242.0,78,179,244.7,-74.6,0,54.5,,
273,,,No,FALSE,Tre Tucker,WR,LV,8,,273,170.1,284,272.0,-11,278,NA,#VALUE!,0,57.4,,
274,,,No,FALSE,Van Jefferson,WR,TEN,10,,274,170.1,393,NA,-119,NA,NA,#VALUE!,0,42.0,,
275,,,No,FALSE,Greg Dortch,WR,ARI,8,,275,170.1,381,NA,-106,383,NA,#VALUE!,0,41.8,,
276,,,No,FALSE,Emari Demercado,RB,ARI,8,,276,170.2,390,NA,-114,NA,NA,#VALUE!,0,19.0,,
277,,,No,FALSE,Kyle Monangai,RB,CHI,5,,277,170.1,213,188.0,64,235,249.6,-79.5,0,35.3,,
278,,,No,FALSE,Devin Neal,RB,NO,11,Q: Aug 17,278,170.1,222,217.5,56,206,225.6,-55.5,0,35.7,,
279,,,No,FALSE,Alec Ingold,RB,MIA,12,Q: Aug 16,279,170.1,406,NA,-127,NA,NA,#VALUE!,0,14.0,,
280,,,No,FALSE,Dare Ogunbowale,RB,HOU,6,,280,170.1,NA,NA,0,NA,NA,#VALUE!,0,8.4,,
281,,,No,FALSE,Brashard Smith,RB,KC,10,,282,170.1,261,205.0,21,221,224.8,-54.7,0,26.1,,
282,,,No,FALSE,Jordan Whittington,WR,LAR,8,,284,170.1,335,282.0,-51,233,292.7,-122.6,0,55.4,,
283,,,No,FALSE,Chiefs D/ST,DST,KC,10,,285,165.7,185,212.0,100,388,185.0,-19.3,0,0.0,,
284,,,No,FALSE,Bears D/ST,DST,CHI,5,,286,168.7,299,267.0,-13,372,NA,#VALUE!,0,0.0,,
285,,,No,FALSE,Jason Myers,K,SEA,8,,287,169.5,315,NA,-28,377,NA,#VALUE!,0,0.0,,
286,,,No,FALSE,Wil Lutz,K,DEN,12,,288,168.8,198,258.5,90,321,227.9,-59.1,0,0.0,,
287,,,No,FALSE,Theo Johnson,TE,NYG,14,,289,170.0,283,252.5,6,193,254.5,-84.5,0,63.0,,
288,,,No,FALSE,Isaiah Likely,TE,BAL,7,Q: Aug 16,290,167.8,157,161.5,133,127,148.9,18.9,2,77.0,,
289,,,No,FALSE,Juwan Johnson,TE,NO,11,,291,170.1,235,241.5,56,220,256.9,-86.8,0,69.5,,
290,,,No,FALSE,Ja'Tavion Sanders,TE,CAR,14,,292,169.9,234,237.5,58,187,248.9,-79.0,0,50.6,,
291,,,No,FALSE,Tyler Conklin,TE,LAC,12,,293,170.0,324,256.0,-31,266,298.1,-128.1,0,50.0,,
292,,,No,FALSE,Jalen Nailor,WR,MIN,6,,294,170.0,288,253.0,6,338,NA,#VALUE!,0,50.0,,
293,,,No,FALSE,Marquez Valdes-Scantling,WR,SEA,8,,295,170.1,340,299.0,-45,396,289.8,-119.8,0,64.9,,
294,,,No,FALSE,Daniel Jones,QB,IND,11,,296,170.1,277,228.5,19,238,259.1,-89.0,0,104.7,,
295,,,No,FALSE,Rams D/ST,DST,LAR,8,,297,168.9,201,242.5,96,276,233.7,-64.8,0,0.0,,
296,,,No,FALSE,49ers D/ST,DST,SF,14,,298,165.7,229,202.0,69,380,157.4,8.3,0,0.0,,
297,,,No,FALSE,Dolphins D/ST,DST,MIA,12,,299,169.7,329,251.0,-30,330,273.4,-103.7,0,0.0,,
298,,,No,FALSE,Chargers D/ST,DST,LAC,12,,300,169.0,196,258.5,104,365,271.0,-102.0,0,0.0,,
299,,,No,FALSE,Jaxson Dart,QB,NYG,14,,301,169.3,306,228.0,-5,160,241.0,-71.7,0,52.2,,
300,,,No,FALSE,Kenny Pickett,QB,CLE,9,Q: Aug 16,302,170.0,367,NA,-65,354,NA,#VALUE!,0,64.3,,
301,,,No,FALSE,Isaiah Davis,RB,NYJ,9,Q: Aug 16,303,170.1,285,319.0,18,265,NA,#VALUE!,0,28.9,,
302,,,No,FALSE,Jordan James,RB,SF,14,Q: Aug 16,304,170.1,274,253.5,30,242,257.1,-87.0,0,28.3,,
303,,,No,FALSE,Chris Brooks,RB,GB,5,,305,170.1,311,NA,-6,NA,NA,#VALUE!,0,20.3,,
304,,,No,FALSE,Hunter Luepke,RB,DAL,10,,306,170.1,NA,NA,0,NA,NA,#VALUE!,0,5.5,,
305,,,No,FALSE,Pierre Strong Jr.,RB,CLE,9,Q: Aug 16,307,170.1,460,NA,-153,NA,NA,#VALUE!,0,10.7,,
306,,,No,FALSE,AJ Dillon,RB,PHI,9,,308,169.9,333,NA,-25,342,NA,#VALUE!,0,0.0,,
307,,,No,FALSE,Emanuel Wilson,RB,GB,5,,309,170.1,312,312.0,-3,NA,NA,#VALUE!,0,35.9,,
308,,,No,FALSE,Dillon Gabriel,QB,CLE,9,,310,170.0,368,NA,-58,322,NA,#VALUE!,0,44.7,,
309,,,No,FALSE,Michael Mayer,TE,LV,8,,311,170.0,352,NA,-41,257,299.4,-129.5,0,35.1,,
310,,,No,FALSE,Noah Fant,TE,FA,,,312,169.9,286,284.0,26,237,NA,#VALUE!,0,51.3,,
311,,,No,FALSE,Ben Sinnott,TE,WSH,12,,313,170.0,316,285.0,-3,194,289.1,-119.1,0,29.7,,
312,,,No,FALSE,Terrance Ferguson,TE,LAR,8,Q: Aug 16,314,169.9,294,243.5,20,157,239.0,-69.1,0,34.2,,
313,,,No,FALSE,Shedeur Sanders,QB,CLE,9,,315,168.4,323,227.0,-8,243,236.4,-68.0,0,33.9,,
314,,,No,FALSE,Joe Flacco,QB,CLE,9,,316,169.9,293,245.5,23,332,284.5,-114.6,0,116.5,,
315,,,No,FALSE,Spencer Rattler,QB,NO,11,,317,170.0,348,222.0,-31,314,NA,#VALUE!,0,72.4,,
316,,,No,FALSE,Kirk Cousins,QB,ATL,5,,318,169.8,357,261.5,-39,277,NA,#VALUE!,0,6.6,,
317,,,No,FALSE,Jalen Milroe,QB,SEA,8,,319,169.7,341,251.5,-22,205,283.7,-114.0,0,25.7,,
318,,,No,FALSE,Zack Moss,RB,FA,,,320,170.3,309,250.0,11,289,291.2,-120.9,0,0.0,,
319,,,No,FALSE,Khalil Herbert,RB,IND,11,Q: Aug 16,321,170.0,272,297.0,49,280,NA,#VALUE!,0,51.7,,
320,,,No,FALSE,AJ Barner,TE,SEA,8,,323,169.9,356,NA,-33,323,NA,#VALUE!,0,44.5,,
321,,,No,FALSE,Will Dissly,TE,LAC,12,,324,169.9,318,NA,6,290,NA,#VALUE!,0,52.0,,
322,,,No,FALSE,Noah Gray,TE,KC,10,,325,169.8,273,261.0,52,240,260.7,-90.9,0,44.0,,
323,,,No,FALSE,Dawson Knox,TE,BUF,7,,326,169.7,339,NA,-13,346,NA,#VALUE!,0,35.2,,
324,,,No,FALSE,Cole Kmet,TE,CHI,5,,327,169.7,242,253.0,85,189,261.8,-92.1,0,41.9,,
325,,,No,FALSE,Austin Hooper,TE,NE,14,,328,169.9,372,NA,-44,395,NA,#VALUE!,0,35.8,,
326,,,No,FALSE,Harold Fannin Jr.,TE,CLE,9,,329,169.9,279,265.0,50,172,NA,#VALUE!,0,29.9,,
327,,,No,FALSE,Luke Musgrave,TE,GB,5,,330,169.8,349,NA,-19,269,NA,#VALUE!,0,27.0,,
328,,,No,FALSE,Foster Moreau,TE,NO,11,Out: Aug 17,331,170.0,388,NA,-57,NA,NA,#VALUE!,0,37.2,,
329,,,No,FALSE,Tommy Tremble,TE,CAR,14,Out: Aug 16,332,170.0,391,NA,-59,NA,NA,#VALUE!,0,27.6,,
330,,,No,FALSE,Oronde Gadsden II,TE,LAC,12,,333,170.0,298,288.0,35,226,NA,#VALUE!,0,29.3,,
331,,,No,FALSE,Josh Oliver,TE,MIN,6,,334,169.9,420,NA,-86,NA,NA,#VALUE!,0,22.3,,
332,,,No,FALSE,Tyrod Taylor,QB,NYJ,9,Q: Sep 7,335,170.0,396,NA,-61,NA,NA,#VALUE!,0,8.9,,
333,,,No,FALSE,Mason Rudolph,QB,PIT,5,,336,170.0,394,NA,-58,359,NA,#VALUE!,0,18.0,,
334,,,No,FALSE,Gardner Minshew,QB,KC,10,,337,170.0,NA,NA,0,392,NA,#VALUE!,0,9.8,,
335,,,No,FALSE,Jameis Winston,QB,NYG,14,,338,169.9,359,NA,-21,300,NA,#VALUE!,0,14.7,,
336,,,No,FALSE,Jake Browning,QB,CIN,10,,339,170.0,465,NA,-126,NA,NA,#VALUE!,0,10.7,,
337,,,No,FALSE,Jimmy Garoppolo,QB,LAR,8,,340,170.0,432,NA,-92,NA,NA,#VALUE!,0,12.0,,
338,,,No,FALSE,Marcus Mariota,QB,WSH,12,Q: Aug 18,341,170.0,443,NA,-102,398,NA,#VALUE!,0,12.9,,
339,,,No,FALSE,Sam Howell,QB,MIN,6,,342,170.0,462,NA,-120,390,NA,#VALUE!,0,9.9,,
340,,,No,FALSE,Joe Milton III,QB,DAL,10,Q: Aug 16,343,169.9,426,NA,-83,333,NA,#VALUE!,0,9.5,,
341,,,No,FALSE,Kyle Trask,QB,TB,9,,344,170.0,NA,NA,0,NA,NA,#VALUE!,0,6.9,,
342,,,No,FALSE,Cam Little,K,JAX,8,,345,169.8,378,NA,-33,319,NA,#VALUE!,0,0.0,,
343,,,No,FALSE,Will Reichard,K,MIN,6,,346,169.2,319,277.0,27,288,270.0,-100.8,0,0.0,,
344,,,No,FALSE,Spencer Shrader,K,IND,11,,347,169.9,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
345,,,No,FALSE,Ryan Fitzgerald,K,CAR,14,,348,169.9,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
346,,,No,FALSE,Daniel Carlson,K,LV,8,,349,169.1,305,296.5,44,345,268.1,-99.0,0,0.0,,
347,,,No,FALSE,Chad Ryland,K,ARI,8,,350,169.9,380,NA,-30,NA,NA,#VALUE!,0,0.0,,
348,,,No,FALSE,Younghoe Koo,K,ATL,5,,351,167.3,237,282.0,114,309,181.2,-13.9,0,0.0,,
349,,,No,FALSE,Andy Borregales,K,NE,14,,352,169.7,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
350,,,No,FALSE,Jake Moody,K,SF,14,,353,169.2,353,309.0,0,295,267.9,-98.7,0,0.0,,
351,,,No,FALSE,Blake Grupe,K,NO,11,,354,169.8,421,NA,-67,307,NA,#VALUE!,0,0.0,,
352,,,No,FALSE,Joey Slye,K,TEN,10,,355,169.9,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
353,,,No,FALSE,Graham Gano,K,NYG,14,,356,169.7,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
354,,,No,FALSE,Dustin Hopkins,K,CLE,9,,358,169.7,NA,NA,0,379,NA,#VALUE!,0,0.0,,
355,,,No,FALSE,Jaguars D/ST,DST,JAX,8,,359,169.6,NA,296.0,0,NA,277.1,-107.5,0,0.0,,
356,,,No,FALSE,Cowboys D/ST,DST,DAL,10,,360,167.5,252,258.5,108,306,269.2,-101.7,0,0.0,,
357,,,No,FALSE,Browns D/ST,DST,CLE,9,,361,169.2,270,300.0,91,389,NA,#VALUE!,0,0.0,,
358,,,No,FALSE,Titans D/ST,DST,TEN,10,,362,169.8,NA,240.0,0,NA,232.3,-62.5,0,0.0,,
359,,,No,FALSE,Falcons D/ST,DST,ATL,5,,363,169.5,403,NA,-40,364,NA,#VALUE!,0,0.0,,
360,,,No,FALSE,Saints D/ST,DST,NO,11,,364,169.7,NA,298.0,0,355,275.7,-106.0,0,0.0,,
361,,,No,FALSE,Commanders D/ST,DST,WSH,12,,365,168.8,370,218.5,-5,325,154.7,14.1,0,0.0,,
362,,,No,FALSE,Raiders D/ST,DST,LV,8,,366,169.5,NA,293.0,0,371,274.2,-104.7,0,0.0,,
363,,,No,FALSE,Bengals D/ST,DST,CIN,10,,367,169.3,417,271.0,-50,401,NA,#VALUE!,0,0.0,,
364,,,No,FALSE,Panthers D/ST,DST,CAR,14,,368,169.4,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
365,,,No,FALSE,Malik Washington,WR,MIA,12,,369,170.1,278,NA,91,231,NA,#VALUE!,0,40.5,,
366,,,No,FALSE,Parker Washington,WR,JAX,8,,370,170.0,291,NA,79,256,NA,#VALUE!,0,37.9,,
367,,,No,FALSE,Elic Ayomanor,WR,TEN,10,,371,170.0,233,268.0,138,177,239.9,-69.9,0,47.4,,
368,,,No,FALSE,Jermaine Burton,WR,CIN,10,Q: Aug 18,372,169.9,307,276.0,65,254,299.5,-129.6,0,36.0,,
369,,,No,FALSE,Tim Patrick,WR,DET,8,,373,169.9,281,NA,92,382,NA,#VALUE!,0,37.6,,
370,,,No,FALSE,Derius Davis,WR,LAC,12,,407,170.0,469,NA,-62,NA,NA,#VALUE!,0,7.3,,
371,,,No,FALSE,Jashaun Corbin,RB,ATL,5,,428,170.0,NA,NA,0,NA,NA,#VALUE!,0,5.8,,
372,,,No,FALSE,Alexander Mattison,RB,MIA,12,IR: Feb 9,431,170.0,287,237.0,144,335,NA,#VALUE!,0,39.5,,
373,,,No,FALSE,Harrison Mevis,K,NYJ,9,,NA,NA,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
374,,,No,FALSE,,,,,,NA,NA,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
375,,,No,FALSE,,,,,,NA,NA,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
376,,,No,FALSE,,,,,,NA,NA,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
377,,,No,FALSE,,,,,,NA,NA,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
378,,,No,FALSE,,,,,,NA,NA,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
379,,,No,FALSE,,,,,,NA,NA,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
380,,,No,FALSE,,,,,,NA,NA,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
381,,,No,FALSE,,,,,,NA,NA,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
382,,,No,FALSE,,,,,,NA,NA,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
383,,,No,FALSE,,,,,,NA,NA,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
384,,,No,FALSE,,,,,,NA,NA,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
385,,,No,FALSE,,,,,,NA,NA,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
386,,,No,FALSE,,,,,,NA,NA,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
387,,,No,FALSE,,,,,,NA,NA,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
388,,,No,FALSE,,,,,,NA,NA,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
389,,,No,FALSE,,,,,,NA,NA,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
390,,,No,FALSE,,,,,,NA,NA,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
391,,,No,FALSE,,,,,,NA,NA,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
392,,,No,FALSE,,,,,,NA,NA,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
393,,,No,FALSE,,,,,,NA,NA,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
394,,,No,FALSE,,,,,,NA,NA,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
395,,,No,FALSE,,,,,,NA,NA,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
396,,,No,FALSE,,,,,,NA,NA,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
397,,,No,FALSE,,,,,,NA,NA,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
398,,,No,FALSE,,,,,,NA,NA,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
399,,,No,FALSE,,,,,,NA,NA,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
400,,,No,FALSE,,,,,,NA,NA,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
401,,,No,FALSE,,,,,,NA,NA,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
402,,,No,FALSE,,,,,,NA,NA,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
403,,,No,FALSE,,,,,,NA,NA,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
404,,,No,FALSE,,,,,,NA,NA,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
405,,,No,FALSE,,,,,,NA,NA,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
406,,,No,FALSE,,,,,,NA,NA,NA,NA,0,NA,NA,#VALUE!,0,0.0,,
